Country,Wealth Gini 2008,Wealth Gini 2018,Wealth Gini 2019,Population,Population % of world,Nominal GDP (in millions),Nominal GDP % of world,GDP per capita
Jordan,0.678,0.677,0.696,9965320.0,0.12,42231.0,0.040,4238.0
Kazakhstan,0.655,0.952,0.772,18319620.0,0.23,179340.0,0.17,9790.0
Kenya,0.699,0.732,0.745,51392570.0,0.64,87908.0,0.083,1711.0
Kuwait,,,0.763,,,,,
Kyrgyzstan,0.68,0.673,0.681,6389500.0,0.079,0.08,0,1267.0
Laos,,,0.794,,,,,
Latvia,0.67,0.788,0.789,1928460.0,0.024,0.03,0,17843.0
Lebanon *,0.762,0.889,0.819,6859410.0,0.085,56639.0,0.054,8257.0
Lesotho,0.767,0.795,0.805,2108330.0,0.026,2739.0,0.0026,1299.0
Liberia,,,0.727,,,,,
Libya,,,0.659,,,,,
Lithuania,0.666,0.655,0.663,2801270.0,0.035,53429.0,0.051,19073.0
Luxembourg,0.65,0.663,0.67,604240.0,0.0075,0.01,9.5×10−9,117312.0
Macau,0.58,,,667.4,0.0,55084.0,0.052,82535.0
Madagascar,0.722,0.702,0.722,26262310.0,0.33,13853.0,0.013,527.0
Malawi,0.736,0.733,0.751,18143220.0,0.23,7065.0,0.0067,389.0
Malaysia *,0.733,0.82,0.796,31528030.0,0.39,0.41,0,11373.0
Maldives *,,,0.724,,,,,
Mali,0.75,0.682,0.707,19077760.0,0.24,0.25,0,900.0
Malta,0.664,0.631,0.64,439260.0,0.0055,0.01,9.5×10−9,33131.0
Mauritania,0.686,0.667,0.681,4403310.0,0.055,5235.0,0.0050,1189.0
Mauritius,0.661,0.64,0.662,1267180.0,0.016,0.02,0,11222.0
Mexico *,0.749,0.8,0.777,126190.78,0.0016,1220699.0,1.2,9673.0
Moldova,,,0.645,,,,,
Mongolia,,,0.668,,,,,
Montenegro,,,0.648,,,,,
Morocco,0.69,0.802,0.766,36029090.0,0.45,0.47,0,3273.0
Mozambique,0.689,0.7,0.716,29496.0,0.00037,14717.0,0.014,499.0
Myanmar,,,0.597,,,,,
Namibia,0.847,0.776,0.788,2448300.0,0.03,14522.0,0.014,5931.0
Nepal,,,0.71,,,,,
Netherlands *,0.65,0.789,0.902,17059560.0,0.21,912242.0,0.86,53557.0
New Zealand *,0.651,0.708,0.672,4743130.0,0.059,204924.0,0.19,43204.0
Nicaragua,0.755,0.778,0.759,6465500.0,0.08,13118.0,0.012,2029.0
Niger,0.729,0.66,0.682,22442830.0,0.28,0.29,0,414.0
Nigeria,0.729,0.894,0.809,195874690.0,2.4,397270.0,0.38,2028.0
North Macedonia,0.661,0.655,,2082.96,0.0,12672.0,0.012,6084.0
Norway,0.633,0.791,0.798,5337960.0,0.066,434167.0,0.41,81336.0
Oman,,,0.786,,,,,
Pakistan,0.698,0.65,0.665,212228290.0,2.6,2.78,0,1482.0
Panama,0.766,0.795,0.78,4176870.0,0.052,0.05,0,15575.0
Papua New Guinea,0.738,0.76,0.766,8606320.0,0.11,0.11,00,2730.0
Paraguay,0.766,0.785,0.768,6956070.0,0.087,40497.0,0.038,5822.0
Peru,0.738,0.795,0.788,31989270.0,0.4,222045.0,0.21,6941.0
Philippines *,0.717,0.826,0.837,106651390.0,1.3,330910.0,0.31,3103.0
Poland *,0.657,0.722,0.677,37921590.0,0.47,585664.0,0.55,15444.0
Portugal,0.667,0.736,0.692,10256190.0,0.13,240675.0,0.23,23466.0
Puerto Rico,0.753,,,3039.6,0.0,101131.0,0.096,33271.0
Qatar,,,0.633,,,,,
Romania,0.651,0.728,0.647,19506110.0,0.24,239553.0,0.23,12281.0
Russia *,0.699,0.875,0.879,146801940.0,1.8,1657555.0,1.6,11291.0
Rwanda,0.714,0.728,0.742,12301970.0,0.15,9509.0,0.0090,773.0
Samoa,,,0.747,,,,,
São Tomé and Príncipe,,,0.674,,,,,
Saudi Arabia,0.737,0.81,0.834,33702760.0,0.42,0.44,0,23337.0
Senegal,0.697,0.705,0.726,15854320.0,0.2,24130.0,0.023,1522.0
Serbia,,,0.676,6963.76,0.0,55437.0,0.053,7992.0
Seychelles,0.76,0.679,0.704,97090.0,0.0012,0.0,0,16376.0
Sierra Leone,0.687,0.671,0.694,7650150.0,0.095,4085.0,0.0039,534.0
Singapore *,0.689,0.758,0.757,5757500.0,0.072,364157.0,0.34,63249.0
Slovakia,0.629,0.498,0.498,5453020.0,0.068,105905.0,0.10,19421.0
Slovenia,0.626,0.646,0.662,2077840.0,0.026,54008.0,0.051,25992.0
Solomon Islands,,,0.7,,,,,
South Africa *,0.763,0.806,0.806,57792520.0,0.72,368289.0,0.35,6373.0
South Korea *,0.579,0.67,0.606,51709100.0,0.64,1823852.0,1.7,35196.0
Spain,0.57,0.697,0.694,46692860.0,0.58,0.61,0,30391.0
Sri Lanka,0.665,0.687,0.7,21228.76,0.00026,88901.0,0.084,4188.0
Saint Lucia,,,0.728,,,,,
Saint Vincent and the Grenadines,,,0.818,,,,,
Sudan,,,0.687,,,,,
Suriname,,,0.832,,,,,
Sweden *,0.742,0.865,0.867,9971630.0,0.12,556086.0,0.53,55767.0
Switzerland,0.803,0.741,0.705,8570150.0,0.11,705140.0,0.67,82279.0
Syria,,,0.699,,,,,
Taiwan,,,0.751,,,,,
Tajikistan,,,0.656,,,,,
Tanzania,0.676,0.65,0.661,56313440.0,0.7,0.74,00,1030.0
Thailand,0.71,0.902,0.846,69428450.0,0.86,0.91,0,7274.0
East Timor,,,0.565,,,,,
Togo,0.711,0.719,0.734,7889100.0,0.098,5359.0,0.0051,679.0
Tonga,,,0.682,,,,,
Trinidad and Tobago,0.689,0.748,0.732,1389840.0,0.017,23808.0,0.023,17130.0
Tunisia,0.693,0.683,0.705,11565200.0,0.14,39871.0,0.038,3447.0
Turkey,0.718,0.871,0.794,82340090.0,1.0,771350.0,0.73,9368.0
Turkmenistan,,,0.63,,,,,
Uganda,0.723,0.714,0.729,42729030.0,0.53,27461.0,0.026,643.0
Ukraine,0.667,0.955,0.847,44246160.0,0.55,130832.0,0.12,2957.0
United Arab Emirates,,,0.796,,,,,
United Kingdom *,0.697,0.747,0.746,67141680.0,0.84,2855297.0,2.7,42526.0
United States *,0.801,0.852,0.852,327096260.0,4.1,20544344.0,19,62808.0
Uruguay,0.708,0.741,0.721,3449290.0,0.043,59597.0,0.056,17278.0
Vanuatu,,,0.688,,,,,
Venezuela,,,0.743,,,,,
Vietnam,0.682,0.708,0.761,95545960.0,1.2,245214.0,0.23,2566.0
Yemen,0.613,0.801,0.798,28498680.0,0.35,26914.0,0.025,944.0
Zambia,0.766,0.787,0.798,17351710.0,0.22,26720.0,0.025,1540.0
Zimbabwe,0.845,0.707,0.719,14438810.0,0.18,31001.0,0.029,2147.0
